"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3130401781016","45.3627480998956","45.4352714392211","45.5321977469609","45.645496980587","45.8225795280676","45.9677720555701","46.0875780201677","46.189560632312","46.3004574786803","46.3984769285387","46.4738605725029","46.5684085364429","46.6613831629259","46.7450132550638","46.8143417494664","46.8597318680421","46.8692544932002","46.8729804891152","46.8608285774635","46.8365632424237","46.8491040682325","46.808389574418","46.833125798729","46.8414096398164","46.8870391174663","46.9468888741168","47.0537921870973","47.1518805911551","47.240111344831","",
"Afghanistan","AFG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7537402874824","15.70088941826","15.6155286202865","15.5132216094163","15.4276089479101","15.4339500679994","15.3013133842779","15.1998379367849","15.1540605512193","15.1176679948966","15.077226095978","15.1551674922531","15.2651522151684","15.3802837381328","15.520728399595","15.6705857166676","15.5590883758423","15.4641395363058","15.4080994288613","15.4097885756223","15.4791670074216","15.7576665541619","16.1153681700521","16.9633139564696","17.8529262279208","18.7877621423825","19.8164430694334","20.8923513317371","21.2470151377734","21.6073953406184","",
"Africa Western and Central","AFW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9564188614037","44.9355541892674","44.9377780332985","44.9557927412026","45.0043279150941","45.0769998541363","45.1059867083219","45.1507481012995","45.2096146011287","45.2756427705537","45.3552276190012","45.3544699851875","45.3966521206076","45.4103477388225","45.4304497493181","45.4388573855095","45.3980817464465","45.4018455508149","45.3725306329358","45.3620635267792","45.3544825878355","45.3277596186824","45.2091001445995","45.1222487893744","45.0785811979727","45.0806085354171","45.0471916219142","44.8376300436199","44.6234486325226","44.4417792646595","",
"Angola","AGO","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2621583280855","48.3143016804263","48.3428062866133","48.3182974604189","48.3887884487179","48.5005461749501","48.5999551397492","48.7039105187654","48.8110447448425","48.9080118191118","49.0073687753007","49.0842896416524","49.1826627883568","49.2672005348567","49.3646658867504","49.4761584272905","49.5635990836769","49.6562556786117","49.7378462848859","49.7876398175858","49.8501109458288","49.8665133936153","49.9128416428455","49.9564819781291","50.0088581504273","50.0503242951255","50.0976844452723","50.1536167858829","50.2029056182122","50.2702756118743","",
"Albania","ALB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6150758085253","43.1859945532905","44.0447147623851","44.3847304221617","44.7090033551797","44.7020034229337","44.1240497807775","43.982552856364","43.129546313076","42.2533416517081","41.7033063534259","41.4570037210832","41.4599356179542","41.6311105505533","41.8389698497931","42.031200735319","42.2165652808042","42.3645359687546","42.4748955229201","41.6066750324725","42.4440719305329","44.1715452470563","42.3026022898933","41.1829852763753","40.276432345784","41.132848207796","42.0254431479969","41.2450323247419","42.1906873360799","43.0442820386066","",
"Andorra","AND","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6692160775685","19.7234455935233","19.7643726132709","19.8661362151593","20.1321896371576","20.0954619932049","20.1042370941956","20.0240805218567","20.0189640274601","20.4002430906979","20.5227795305518","20.6179449893013","20.2994441936795","20.4970214950073","20.5795439926097","20.6197349983802","20.7011117027308","21.0149194613918","20.6222497973049","20.7026884759654","20.6161540909014","20.5962158237809","20.736375582752","20.9378267013663","21.0013137268236","21.0899433936023","21.3262203244881","21.0350781598929","20.3684606744103","20.3630826586612","",
"United Arab Emirates","ARE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7989670212035","11.0298911693339","11.2085509580505","11.4384647548695","11.5408509692667","11.6351120849384","11.766251825774","11.8672885082365","11.9379594089137","11.9805626573662","11.9922232868597","12.1950139345377","12.3999177811054","12.5019873300749","12.3917792478174","12.065217206661","11.7307642210231","11.3601362889674","11.1285742734193","11.1398436346239","11.4131222814895","12.0696844044617","12.9664888581543","14.0304561311202","15.1193072958636","16.0908023424065","16.7724967981779","17.3727558801075","17.4674073983033","17.4797373655912","",
"Argentina","ARG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3400574537179","39.8386029095871","40.326594081421","40.8309125677346","41.222085568813","41.2106844320865","41.5720205890187","42.0298083947869","42.2775685679747","42.1798676058739","42.1748518533457","42.0121573412989","41.4879738977067","41.8348213318156","42.1904252527798","41.8458474055113","42.0747352222363","41.7849405203153","41.4966904885566","41.819393248478","41.384291075795","41.4472656434188","41.59410292636","41.4401138851693","41.2491895648997","41.6112460861779","41.9800646066168","42.3435928812376","43.0018553711635","43.2696281048641","",
"Armenia","ARM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2495019761614","43.508039795644","43.8536008821839","44.2636195143073","44.7236645443557","45.1799166715157","45.5558426850696","45.8962391160413","46.1984521234746","46.4529123651958","46.6504552722934","46.6718947500778","46.6351343086711","46.5687282456553","46.5026887812919","46.4378575996887","46.3898606411653","46.3659250131588","46.3355405502572","46.4410907346592","45.7026640546229","47.0284023030837","47.1139368446086","47.1845018450185","47.0565759485186","46.8369179064679","46.0488015732752","46.149746499787","44.2316260855115","44.2254252359466","",
"American Samoa","ASM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3867583158244","41.5862211515661","41.7698491334622","41.8830300481944","42.2989214524969","42.699537330432","42.8636517410359","42.9359309615208","43.0515374089656","43.1899310050411","43.6364219532771","43.9407804695385","44.0576938427102","44.4426702563856","44.3359650404222","44.6662489067426","44.8361846734195","44.9351936026875","45.0436439300021","45.1944728209886","45.087072706588","45.2848956840696","45.4355597731855","45.5565097836964","45.7403895651126","45.9090823133663","46.161210624569","46.3398683551227","46.5003995878571","46.6416050867847","",
"Austria","AUT","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0291410522882","41.1321174063652","41.6474851495969","41.9225979048187","42.9885505496395","43.2977032030866","43.1923236923061","43.3340960051252","43.5191171977424","43.5043634990705","43.5132706795941","43.7584164753744","44.2855434983684","44.3734760427788","45.1138619039408","45.2546090889699","45.4312489033029","45.4940930240603","45.7299864530735","46.0429019971538","46.1403778286113","46.336183969388","46.513702740732","46.5822439684282","46.7059590828889","46.6778857944501","46.7016145970273","46.6178936064356","46.4289090724555","46.4177452767426","",
"Azerbaijan","AZE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.1180690478028","48.1067306242423","48.3283721107574","48.701881268969","49.0232553957418","49.1247157598435","49.1720801232517","49.1913772386429","49.2157299296696","49.2565662777833","49.2389394276817","49.1305032259277","49.010585194888","48.7776977362351","48.7963985620493","48.5937711804567","48.2924211773706","48.1064363085074","48.3791862767631","48.9963620386525","49.3300622549823","49.0942250147771","48.9598740006103","48.8953196462828","48.9465818700207","49.0192479448248","48.7851478677457","48.7318203210315","48.7601080231909","48.6316284492429","",
"Burundi","BDI","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1084224655202","52.2166940227055","52.3582640698139","52.5194812012053","52.6679111875601","52.7838769997284","52.6816626922696","52.5638782610564","52.4211062747142","52.311596912115","52.2155883479123","52.2113566629974","52.2033976385207","52.2042528195006","52.204101873967","52.2051904061531","52.191015880597","52.1651387786342","52.1413333775502","52.1161394233874","52.0980197203636","52.1044528386351","52.1158569262714","52.1292998631406","52.1409433655544","52.0638852720706","52.0020998998017","51.936011314434","51.8935486961401","51.8576449806412","",
